sys.exec.out.time {s},target.sat.pos_eci[0] {m},target.sat.vel_eci[0] {m/s},target.sat.pos_eci[1] {m},target.sat.vel_eci[1] {m/s},target.sat.pos_eci[2] {m},target.sat.vel_eci[2] {m/s},chaser.sat.pos_eci[0] {m},chaser.sat.vel_eci[0] {m/s},chaser.sat.pos_eci[1] {m},chaser.sat.vel_eci[1] {m/s},chaser.sat.pos_eci[2] {m},chaser.sat.vel_eci[2] {m/s},chaser.sat.attNav.qHat[0] {--},chaser.sat.attNav.qHat[1] {--},chaser.sat.attNav.qHat[2] {--},chaser.sat.attNav.qHat[3] {--},chaser.sat.thruster.thrustAcc_eci[0] {m/s2},chaser.sat.imu.dVel[0] {m/s},chaser.sat.thruster.thrustAcc_eci[1] {m/s2},chaser.sat.imu.dVel[1] {m/s},chaser.sat.thruster.thrustAcc_eci[2] {m/s2},chaser.sat.imu.dVel[2] {m/s},chaser.sat.thruster.dVAccumulated {m/s},chaser.sat.guidance.currentWaypoint {--},chaser.sat.imu.isValid {--},chaser.sat.rangefinder.range {m},chaser.sat.rangefinder.azimuth {rad},chaser.sat.rangefinder.elevation {rad},chaser.sat.rangefinder.isValid {--},chaser.sat.relNav.xHat[0] {m},chaser.sat.relNav.xHat[1] {m},chaser.sat.relNav.xHat[2] {m},chaser.sat.relNav.xHat[3] {m/s},chaser.sat.relNav.xHat[4] {m/s},chaser.sat.relNav.xHat[5] {m/s}
                   0,             6878137,                   0,                   0,    7612.60817322387,                   0,                   0,   6878122.353941778,   0.877722909772629,  -793.0394267091411,   7612.624383238664,  -608.9942211583082,-1.384705067622449e-14,  0.9999920081591041, 0.00395778101102178,-0.0003526594484847508, 0.00044183560786713,                   0,0.001163074522536915,                   0,-0.002828615596533263,                   0,0.001433778074454081,                   0,0,1,   999.9981708796794,   1.552592997251156,  0.6543006167113952,1,   15.56374714573764,   798.1103336108379,   602.3658865467041,3.873982667996904e-05,-0.03216570151428015,-0.0007003438665257147
                   1,   6878132.787246077,  -8.425506989393018,   7612.606619021705,    7612.60351061756,                   0,                   0,   6878119.018892774,  -7.547820232170773,     6819.5838880418,   7612.620692047955,  -608.9938481562734,0.0007460039952815463,  0.9999994278873207,-0.0001071789659206535,0.0009149139533143135,0.0005437556056988828,                   0,0.001237704144055527,                   0,0.002911621739491107,                   0,0.001653298369907056,                   0,0,1,   999.9787142587472,   1.551897563961862,  0.6552180074235372,1,   14.70994800517368,    795.351898439357,   605.9515206083327,-0.01739910794961391,-0.06039952098704996, 0.05167012233848139
                   2,   6878120.148989466,  -16.85100365779716,   15225.20391283268,   7612.589522804351,                   0,                   0,   6878107.258304395,  -15.97335412815311,   14432.19884895756,   7612.607675570019,  -608.9927291506233,0.001492007076734323,  0.9999985276406038,-0.0005779214779658195,0.0007100355415912701, 0.00145140377543973,                   0,-0.001938289711108806,                   0,-0.0004628059204425106,                   0,0.0003447348588382425,                   0,0,1,    999.958987977373,   1.553922786081829,  0.6556534804397659,1,   14.13367350106906,   794.2011793112841,   607.4358145555334,-0.04931097818020083, -0.1089871274420292,  0.1100630584782327
                   3,   6878099.085245645,  -25.27647968423626,   22837.78255623369,   7612.566209801372,                   0,                   0,   6878087.072191047,  -24.39886845702028,   22044.79613075795,     7612.5853338208,  -608.9908641427292,0.002238008330501771,   0.999997526423043,-0.00155452320380479,0.0001965310084767333,0.001578600952523218,                   0,-0.003273571330422486,                   0, 0.00214120061146805,                   0, 0.00488335125685715,                   0,0,1,   999.9205898508164,   1.552104194288723,  0.6539633832052615,1,   14.21594873201025,    793.475667498564,   608.3213205812436,-0.03519024252251016, -0.1631155586790896,  0.1672949810095304
                   4,   6878069.596040417,  -33.70192474775939,   30450.33322404824,    7612.53357163718,                   0,                   0,   6878058.460577446,  -32.82435289764217,    29657.3664081844,   7612.553666827672,  -608.9882531348758,0.002984006842743419,  0.9999972048860747,-0.0007642958059609542,0.0003198644498359807,0.002214443201533165,                   0,0.000797956393697191,                   0,0.002139729394073094,                   0,0.003619490696663251,                   0,0,1,   999.8962179132475,   1.553560797202033,  0.6534347140798002,1,   13.94517216455403,   793.2138160007058,     608.61721506777,-0.06508132339552318, -0.1742060112024324,  0.1799411855277941
                   5,    6878031.68140991,  -42.12732852745354,   38062.84659113416,   7612.491608351756,                   0,                   0,   6878021.423498658,  -41.24979712892533,   37269.90035601147,   7612.512674629432,  -608.9848961302614,0.003730001699622146,   0.999995290996719,-0.001299199112244527,0.0002028598058703741,0.002772889098580711,                   0,0.0006178286644672417,                   0,0.001836268367560483,                   0,0.003178903988756603,                   0,0,1,     999.86314155665,   1.553551017168733,   0.655718322449986,1,   13.77049852295019,   792.5300975507884,   609.4587168540995,-0.08027884453167773, -0.2359287859202731,  0.2583355239739879
                   6,    6877985.34140056,  -50.55268070245634,   45675.31333239505,   7612.440319996502,                   0,                   0,   6877975.961000039,  -49.67519082982547,   44882.38864905816,   7612.462357276279,   -608.980793132999, 0.00447599198730532,  0.9999936500244935,-0.001141673264914859,-0.0001562953735228478,0.003372249190568602,                   0,0.002200347106823761,                   0,-0.00283957712929866,                   0,-0.001676383220266711,                   0,0,1,   999.8377518795224,   1.551594406888994,  0.6545735519963904,1,   14.16475698093684,   792.1427379370585,   609.9038989343429,-0.009453187554647566,  -0.255742525984986,  0.2815895401522857
                   7,   6877930.576069137,  -58.97797095196852,   53287.72412279139,   7612.379706634258,                   0,                   0,   6877922.073137284,  -58.10052367936023,   52494.82196219946,   7612.402714829864,   -608.975944148115,0.005221976791965904,  0.9999919132069651,-0.0009706160654761049,-0.0002643070199858226,0.003893785680564121,                   0,-0.003030443924687568,                   0,-0.0004387800646434821,                   0,-0.0007067475487019734,                   0,0,1,   999.8070607711003,   1.554650213250843,  0.6547258009545347,1,   13.89490432212032,   791.8625737520819,   610.2242054392984,-0.04884767053307645, -0.2587587663007687,  0.2862487997119858
                   8,   6877867.385482735,   -67.4031889552668,   60900.06963735247,   7612.309768339263,                   0,                   0,   6877859.759976405,   -66.5257853566219,   60107.19097037766,   7612.333747363247,  -608.9703491815475,0.005967955199783565,  0.9999898296498761,-0.0009161358146580869,-0.0001728945224630798,0.004412640871958344,                   0,-0.004496054525003283,                   0,-2.793537691947723e-05,                   0,-0.005629263241592435,                   0,0,1,   999.7855476389321,   1.552201970106444,  0.6534457430226359,1,   14.11388322033053,   791.8179978036679,   610.2317378235533,-0.01325370895755761, -0.2319993560566942,  0.2508612263331635
                   9,   6877795.769718755,  -75.82832439171631,   68512.34055118744,   7612.230505197198,                   0,                   0,   6877789.021593734,  -74.95096554078977,   67719.48634861388,   7612.255454960921,  -608.9640082401515,0.006713926296945826,   0.999986896294771,-0.0003080392757907082,-0.0002435542060242002,0.005104217070635271,                   0, 0.00178857086188776,                   0,-0.000615071233568673,                   0,0.004437715311933748,                   0,0,1,     999.75304096996,   1.554001850203262,  0.6523728075376451,1,   14.02039966674056,   792.1257616081473,   609.7867606249724,-0.02543479383575383,  -0.165078919231887,  0.1643079034128271
                  10,   6877715.728864911,  -84.25336694078331,   76124.52753949679,   7612.141917305143,                   0,                   0,   6877709.858075926,  -83.37605391114313,   75331.69877201936,   7612.167837718784,  -608.9569213316948,0.007459889169649147,  0.9999820322131806,-0.0006551142775296997,-0.0003036238639942841,0.005950956950757117,                   0,-0.003019561923852517,                   0, -0.0018130583002236,                   0,-0.001909917407651114,                   0,0,1,    999.703242474335,   1.552276845231281,  0.6543117286076315,1,   14.45051192307934,   792.0284596086753,   609.8428703310464, 0.03424455768956294, -0.1563142543262656,  0.1488364381554675
                  11,   6877627.263019267,  -92.67830628204791,   83736.62127758376,   7612.044004771628,                   0,                   0,   6877622.269519958,  -91.80104014707365,   82943.81891580723,   7612.070895744159,  -608.9490884648581,0.008205842904100067,  0.9999789935194415,-0.0006925693407541882,-0.0002515577378572481, 0.00643968836647268,                   0,-0.002939995587516143,                   0,0.002719315222693042,                   0,0.006490126084611364,                   0,0,1,     999.69503902594,   1.552328499981822,  0.6554820460770447,1,   14.70189794411794,   791.7947676618087,   610.0932678447906, 0.05718915155985466, -0.1667516469014669,  0.1615849556767091
                  12,   6877530.372290182,  -101.1031320952166,   91348.61244086592,   7611.936767716578,                   0,                   0,   6877526.256033112,  -100.2259139280982,    90555.8374553031,   7611.964629155815,  -608.9405096492376, 0.00895178658651636,  0.9999758990147616,-0.0005633672489195242,-0.0001756387833971709,0.006917597702967006,                   0,-0.001271813559688298,                   0,0.0006931805685207712,                   0,0.005100094203108955,                   0,0,1,   999.6400103494902,    1.55202555047505,   0.655660240740863,1,   14.95769613025056,   791.6083237961246,   610.2693048022263, 0.08051770608872552, -0.1684152149518348,  0.1612283799751376
                  13,   6877425.056796356,  -109.5278340601349,   98960.49170488674,   7611.820206271366,                   0,                   0,   6877421.817733016,  -108.6506649338714,    98167.7450659576,   7611.849038083922,  -608.9311848953405,0.009697719303128056,   0.999973907683032,0.0002221429386883108,-6.507892832916718e-05,0.007220136451277928,                   0,-0.002720694561191625,                   0,-0.005913161880791193,                   0,-0.00041355264764805,                   0,0,1,   999.6326798250871,   1.553034212521914,  0.6545209125682325,1,   14.81429044931917,   791.8006692173354,   609.9760395446991, 0.05456370457085304, -0.1332812033816438,  0.1166150803614642
                  14,   6877311.316666788,  -117.9524018568002,   106572.2497453262,   7611.694320578781,                   0,                   0,   6877308.954747608,  -117.0752828441981,   105779.5324233569,    7611.72412267008,  -608.9211142145909, 0.01044364014017863,   0.999970224753425,0.0005889178760170959,6.701531679696477e-05, 0.00769404258289334,                   0,-0.0004309755140810722,                   0,0.002886172032576832,                   0,-7.812948838133332e-05,                   0,0,1,   999.5817159101457,   1.552257472641249,  0.6563304537679976,1,   14.79948104522659,   791.8350446715905,   609.8750566018651, 0.04810093687666264, -0.1170982159327908, 0.09481466016839962
                  15,   6877189.152040796,  -126.3768251653741,   114183.8772380132,   7611.559110793017,                   0,                   0,   6877187.667215132,  -125.4997573390464,   113391.1902032345,   7611.589883067312,  -608.9102976193244, 0.01118954818392612,  0.9999659479275758,0.000594247741246778,0.0002580719708173124,0.008226983273629583,                   0,0.002853249014630705,                   0,-0.001229863610008341,                   0,0.001090468573661041,                   0,0,1,   999.5579497231403,   1.552787946351476,  0.6542436555386892,1,   14.62237634181093,    792.119289402034,   609.4578222113058, 0.02652352483448395,-0.08109829668185012, 0.04842470711424325
                  16,    6877058.56306805,  -134.8010936661952,   121795.3648589363,   7611.414577079709,                   0,                   0,   6877057.955284171,    -133.92407809856,   121002.7090814831,   7611.446319440067,  -608.8987351227919, 0.01193544252064426,  0.9999624615132885,0.0006672580596682384,0.0001902150156945873,0.008636790446371364,                   0,-0.005786140676387181,                   0,0.004204107052940851,                   0,0.001740508990801421,                   0,0,1,   999.5045337953887,   1.551861031041481,  0.6539262587206901,1,   14.64307062895405,   792.4037073006506,   609.0263490370876,  0.0275874396769855,-0.04925415794195756,0.005711219022635328
                  17,    6876919.54990851,  -143.2251970397916,   129406.7032842556,   7611.260719615905,                   0,                   0,   6876919.819113618,  -142.3482348030708,    128614.079734165,   7611.293431964205,  -608.8864267391565, 0.01268132223662355,   0.999957680662301,0.0009198014434324408,0.0002350228362249875,0.009150716586325002,                   0,0.002456296041019151,                   0,0.005726685628867842,                   0,0.003475054851902886,                   0,0,1,   999.4936455515061,   1.551958699916961,   0.655056075352169,1,   14.55028319327547,   792.5896259444269,   608.7342920544584, 0.01646451578356376,-0.03059525816469327,-0.01844284039293857
                  18,   6876772.112732452,  -151.6491249668941,    137017.883190314,   7611.097538590075,                   0,                   0,   6876773.258872688,  -150.7722171331122,   136225.2928375242,      7611.131220827,  -608.8733724834959,  0.0134271864181724,  0.9999530429279869,0.001093780817796095,0.0002501168298449455,0.009625644090323616,                   0,-0.003581228917809948,                   0,0.002397325431103244,                   0,-0.003486470964756585,                   0,0,1,   999.4503643988918,   1.552979149893434,  0.6538227989851093,1,   14.33685931838858,   792.9109478303189,   608.2654809463154,-0.00125255836020156,-0.003002223385985506,-0.05419334906227767
                  19,   6876616.251720498,  -160.0728671284479,   144628.8952536484,   7610.925034202111,                   0,                   0,   6876618.274740917,  -159.1960147694303,    143836.339067998,   7610.959686227181,  -608.8595723718017, 0.01417303415161824,  0.9999491329760894,0.001181245090330196,0.0001739336698764929, 0.01001528169759634,                   0,-0.002707131561510633,                   0,0.001312699885518737,                   0,-0.001576157240575196,                   0,0,1,   999.4450595159079,   1.554876435298984,  0.6536228892930821,1,   13.79156882567377,   793.2543236875147,   607.7862491554783,-0.04363737083065557, 0.02275485849141393,-0.08556025340875256
                  20,    6876451.96706356,  -168.4964132056263,    152239.730151001,   7610.743206663327,                   0,                   0,   6876454.866908153,  -167.6196173929984,   151447.2091022277,   7610.778828374874,   -608.845026420979, 0.01491886452330868,  0.9999441517503261,0.001120620876941908,-6.800308506448258e-05, 0.01050870899546763,                   0,-0.005783794388438315,                   0,0.0006423586189883261,                   0,-0.0006578766496597636,                   0,0,1,   999.3913537886215,   1.553279684577188,  0.6554923674565822,1,   13.62990117254212,   793.3199427758675,   607.6489958339596,-0.05198033380236255, 0.02606905085093156,-0.08999041260889346
