sys.exec.out.time {s},target.sat.pos_eci[0] {m},target.sat.vel_eci[0] {m/s},target.sat.pos_eci[1] {m},target.sat.vel_eci[1] {m/s},target.sat.pos_eci[2] {m},target.sat.vel_eci[2] {m/s},chaser.sat.pos_eci[0] {m},chaser.sat.vel_eci[0] {m/s},chaser.sat.pos_eci[1] {m},chaser.sat.vel_eci[1] {m/s},chaser.sat.pos_eci[2] {m},chaser.sat.vel_eci[2] {m/s},chaser.sat.attNav.qHat[0] {--},chaser.sat.attNav.qHat[1] {--},chaser.sat.attNav.qHat[2] {--},chaser.sat.attNav.qHat[3] {--},chaser.sat.thruster.thrustAcc_eci[0] {m/s2},chaser.sat.imu.dVel[0] {m/s},chaser.sat.thruster.thrustAcc_eci[1] {m/s2},chaser.sat.imu.dVel[1] {m/s},chaser.sat.thruster.thrustAcc_eci[2] {m/s2},chaser.sat.imu.dVel[2] {m/s},chaser.sat.thruster.dVAccumulated {m/s},chaser.sat.guidance.currentWaypoint {--},chaser.sat.imu.isValid {--},chaser.sat.rangefinder.range {m},chaser.sat.rangefinder.azimuth {rad},chaser.sat.rangefinder.elevation {rad},chaser.sat.rangefinder.isValid {--},chaser.sat.relNav.xHat[0] {m},chaser.sat.relNav.xHat[1] {m},chaser.sat.relNav.xHat[2] {m},chaser.sat.relNav.xHat[3] {m/s},chaser.sat.relNav.xHat[4] {m/s},chaser.sat.relNav.xHat[5] {m/s}
                   0,             6878137,                   0,                   0,    7612.60817322387,                   0,                   0,   6878255.723238289,  0.9227667379718116,  -833.7373865028093,   7612.476772309034,   539.2464843903601,2.449576457473623e-13,  0.9999950447750794,0.003123695172911931,-0.0003238747723110462,-0.0002192233691860176,                   0,-0.0009348843783624363,                   0,-0.001562467605290617,                   0,0.0005498696354149903,                   0,0,1,   1000.006223828847,   1.712489835733344,  -0.570022119147534,1,  -119.6130358396927,    830.063367328056,  -544.7434771922822,2.648628549646913e-05,  0.2626115487461054,5.880008777962127e-05
                   1,   6878132.787246077,  -8.425506989393018,   7612.606619021705,    7612.60351061756,                   0,                   0,   6878252.433396473,  -7.502449696206867,   6778.738342336371,   7612.473131274611,   539.2461541272323,-0.0006605261884300888,  0.9999982963515038,0.001711725477792699,-0.0001240235632558882,0.0006796382378642973,                   0,-0.002913341976915074,                   0,0.007031568088937534,                   0,0.001643148118571247,                   0,0,1,   1000.229899605448,   1.711919023764057, -0.5702303343072322,1,  -118.9728478997175,   831.0501671208946,   -543.749040794487, 0.01326684188881143,  0.2660292786269351, 0.01811460270835441
                   2,   6878120.148989466,  -16.85100365779716,   15225.20391283268,   7612.589522804351,                   0,                   0,   6878240.718341958,  -15.92765694100646,   14391.20576785827,   7612.460165676145,   539.2451633382522, -0.0013210515680553,  0.9999971507424349,0.001959052601087534,-0.0003473706740661352,0.001319072982520558,                   0,-0.0006906062359940904,                   0,-0.0004490466968087466,                   0,-0.001321086320124848,                   0,0,1,    1000.42211404059,   1.713345665044762, -0.5686145249724448,1,  -119.2545490621911,    831.638792669058,  -543.1462614826506,0.001094010153439066,  0.2744449383197177, 0.04824128578334408
                   3,   6878099.085245645,  -25.27647968423626,   22837.78255623369,   7612.566209801372,                   0,                   0,   6878220.578089091,  -24.35284467687366,   22003.65556550582,   7612.437875529515,   539.2435120246348,-0.00198157532959101,   0.999997766414422,0.001274986006707145,8.631927301887771e-05,0.001683486214043917,                   0,-0.00196410233295361,                   0,-0.0009930613117858206,                   0,0.002762912705876126,                   0,0,1,   1000.651628185119,   1.713603259002676,  -0.569402720272054,1,  -119.4182817481967,   832.1982547532465,  -542.6567260956326,-0.01490645724357239,  0.2955747270530527, 0.07073933074839461
                   4,   6878069.596040417,  -33.70192474775939,   30450.33322404824,    7612.53357163718,                   0,                   0,   6878192.012662546,  -32.77800258427904,   29616.07841074356,   7612.406260862029,   539.2412001884027,-0.002642096663999534,  0.9999965624286354,0.001534225085223805,6.151156652947366e-05,0.002125441278289211,                   0,0.000295423331638607,                   0,0.003335501189826312,                   0,-0.005255626018877868,                   0,0,1,   1000.869289211058,   1.712004949743665, -0.5701039483060204,1,  -119.2376666632491,   832.5173280115667,  -542.6090704760842,0.006428574690371487,  0.2977807398540372, 0.06470998121816408
                   5,    6878031.68140991,  -42.12732852745354,   38062.84659113416,   7612.491608351756,                   0,                   0,   6878155.022097312,  -41.20312034372969,   37228.46497906903,   7612.365321712406,   539.2382278323863,-0.003302614762246157,  0.9999963158155309,0.0002246479125782952,1.927995309247394e-05,0.002705090934444772,                   0,0.0004217629553758268,                   0,0.003133479814805649,                   0,0.002224348046576008,                   0,0,1,   1001.082452686947,    1.71320007030304,  -0.568090713697106,1,   -119.382071379588,   833.3365754586068,   -541.718638405397,-0.01277716718185924,  0.3586273396239212,  0.1609025147386194
                   6,    6877985.34140056,  -50.55268070245634,   45675.31333239505,   7612.440319996502,                   0,                   0,   6878109.606438683,  -49.62818763578188,   44840.80594602423,    7612.31505813077,    539.234594960227,-0.003963128815300127,   0.999994841361044,0.0002784815475542964,-7.166397717695709e-05,0.003199150450093083,                   0,-0.005188817975743415,                   0,0.001756027115713612,                   0,0.002304544234173915,                   0,0,1,   1001.308587456704,   1.713638439060878, -0.5696227848731239,1,  -119.6392931843526,   833.8422589660709,  -541.2915207245975, -0.0500016065716619,  0.3762670035838814,  0.1934719534743756
                   7,   6877930.576069137,  -58.97797095196852,   53287.72412279139,   7612.379706634258,                   0,                   0,   6878055.765742299,  -58.05319414105378,   52453.09198720686,   7612.255470178691,   539.2303015763741,-0.004623638014135648,  0.9999931931492613,0.0001929252469013492,-9.405082152873678e-05,0.003683420887776024,                   0,-0.003137622920004032,                   0,-0.0002568115256683071,                   0,0.003687542735570501,                   0,0,1,     1001.5375329765,   1.712886698839945,  -0.566655943913047,1,  -119.8117030797722,   834.6942054787377,  -540.3560099754332,-0.06960324417317072,  0.4377413919664548,  0.2896199381043837
                   8,   6877867.385482735,   -67.4031889552668,   60900.06963735247,   7612.309768339263,                   0,                   0,   6877993.500074103,  -66.47812954023776,   60065.31377828226,    7612.18655792914,   539.2253476860869,-0.005284141549732866,  0.9999918529932526,0.0005132801530392237,-0.0001751072552887776,0.003999978506797926,                   0,-0.0004295469800366242,                   0,-0.0009210807381855276,                   0,0.0009994847339139629,                   0,0,1,   1001.741239833475,   1.713792750962272,  -0.567253001776334,1,  -120.2274801076038,   835.2252873166923,  -539.8453916510539, -0.1164406006623164,  0.4500283208413766,  0.3190675480807979
                   9,   6877795.769718755,  -75.82832439171631,   68512.34055118744,   7612.230505197198,                   0,                   0,   6877922.809510359,   -74.9029835141134,   67677.46199499401,    7612.10832146652,   539.2197332954319,-0.005944638613078859,  0.9999888162008775,0.0006422446643477781,-0.000233685054547562,0.004679784851234957,                   0,-0.007375954657607478,                   0,-0.008619853432506595,                   0,0.008028658098656532,                   0,0,1,   1001.964785244983,   1.712499311439007, -0.5667361037236415,1,  -120.3016245639307,   835.7718689728476,  -539.3891483383173, -0.1108962702237373,  0.4622824947096599,  0.3368215555188113
                  10,   6877715.728864911,  -84.25336694078331,   76124.52753949679,   7612.141917305143,                   0,                   0,   6877843.694137652,  -83.32774574356007,   75289.52731317608,   7612.020760886654,    539.213458411288,-0.006605128395168637,  0.9999862724790455,0.0006930581843636708,-0.0003256325683138332,0.005183482154657814,                   0,0.001277895498302051,                   0,0.005501562676104424,                   0,-0.001997133970578073,                   0,0,1,   1002.163475710042,   1.711866762324232, -0.5692242583419266,1,  -120.1915513913946,    835.928893845038,  -539.5632758234009,-0.08102870278749692,  0.4258021930969563,  0.2758818991670091
                  11,   6877627.263019267,  -92.67830628204791,   83736.62127758376,   7612.044004771628,                   0,                   0,   6877756.154052887,  -91.75240590956926,   82901.50040876379,   7611.923876296773,   539.2065230413384,-0.00726561008700612,  0.9999826011295297,-0.0003317278735544406,-0.0003310000070460396,0.005880291985342481,                   0,0.0007242478464604301,                   0,-0.001284880911486483,                   0,-0.0006938101151274928,                   0,0,1,   1002.389823562369,    1.71088039305925, -0.5662869620553869,1,   -119.927833836602,   836.7083614867136,  -538.8149403574811,-0.03955399961223342,  0.4656400909615226,  0.3297235014722275
                  12,   6877530.372290182,  -101.1031320952166,   91348.61244086592,   7611.936767716578,                   0,                   0,   6877660.189363287,  -100.1769536932575,   90513.37195780565,   7611.817667815531,   539.1989271940803,-0.007926082879605138,  0.9999793160000763,-8.067469674102278e-05,-0.0002192492647406625,0.006427518445950197,                   0,-0.002114766233224348,                   0,0.004241485575037893,                   0,-0.001439516421953146,                   0,0,1,   1002.598764510513,   1.711947627407741, -0.5679819264034395,1,  -119.8474268888289,   837.0904738192301,  -538.6369304138512, -0.0249595757595766,  0.4564836240733086,  0.3136428018655771
                  13,   6877425.056796356,  -109.5278340601349,   98960.49170488674,   7611.820206271366,                   0,                   0,   6877555.800186401,  -108.6013787758791,    98125.1326364743,   7611.702135573007,   539.1906708788151,-0.008586545963990416,  0.9999753030588082,0.0004325212839433048,-0.0001632750132494166, 0.00701281249239701,                   0,-0.008877238392250224,                   0,-0.0004924922797363632,                   0,-0.001910113858759873,                   0,0,1,   1002.812038278676,   1.710898987679112, -0.5678770392849952,1,  -119.5753208951632,   837.3526850494974,  -538.6858052254452,0.006543364895201291,  0.4363979420665116,   0.277193439406147
                  14,   6877311.316666788,  -117.9524018568002,   106572.2497453262,   7611.694320578781,                   0,                   0,    6877442.98665008,  -117.0256708388385,   105736.7731210782,   7611.577279710693,   539.1817541056579,-0.009246998531198545,   0.999970477645319,0.0006410901245315021,-0.0001974960742146905,0.007654661099335523,                   0,0.0003569315327892941,                   0,0.0005839825051269428,                   0,0.0004157571724603208,                   0,0,1,    1003.04394663763,   1.711725034061918, -0.5681506480856056,1,  -119.5208004274048,   837.5098165042868,  -538.8584065783914,0.008899131269513676,  0.4101020942694668,  0.2360059853271549
                  15,   6877189.152040796,  -126.3768251653741,   114183.8772380132,   7611.559110793017,                   0,                   0,   6877321.748892504,  -125.4498195637029,   113348.2840880731,   7611.443100381508,   539.1721768855275,-0.009907439772279031,  0.9999653373779979,0.000857240356268855,-2.121516003532839e-05,0.008281831403476207,                   0,-0.004163728890120572,                   0, -0.0017133614952129,                   0,-0.001444812145125684,                   0,0,1,   1003.247334012946,   1.710633659264735, -0.5687409868559756,1,   -119.199494029835,   837.5748011156002,  -539.2256019073593, 0.03687448462974369,  0.3785429551667183,  0.1822578786760487
